code,name,high,low,close,change,volume,value,frequency
JTPE,Jasuindo Tiga Perkasa Tbk.,570,530,565,10,11.960.900,6.584.651.000,1.855
KAEF,Kimia Farma Tbk.,550,500,525,10,3.227.800,1.656.344.000,1.136
KARW,Meratus Jasa Prima Tbk.,396,380,396,2,232.400,91.902.400,58
KBLI,KMI Wire & Cable Tbk.,336,324,324,2,395.500,130.481.200,102
KBLM,Kabelindo Murni Tbk.,338,334,334,2,76.000,25.539.400,55
KBLV,First Media Tbk.,177,167,167,7,11.253.000,1.910.361.500,1.356
KBRI,Kertas Basuki Rachmat Indonesi,0,0,50,0,0,0,0
KDSI,Kedawung Setia Industrial Tbk.,460,444,458,2,6.900,3.162.800,9
KIAS,Keramika Indonesia Assosiasi T,0,0,21,0,0,0,0
KICI,Kedaung Indah Can Tbk,228,210,210,18,607.800,130.965.200,234
KIJA,Kawasan Industri Jababeka Tbk.,224,210,218,4,106.596.600,23.190.969.000,3.509
KKGI,Resource Alam Indonesia Tbk.,356,346,352,2,15.635.800,5.464.679.000,2.304
KLBF,Kalbe Farma Tbk.,1.225,1.200,1.225,25,38.199.100,46.439.990.500,5.232
KOBX,Kobexindo Tractors Tbk.,200,192,196,2,2.772.300,539.383.200,595
KOIN,Kokoh Inti Arebama Tbk,90,83,83,7,126.700,10.767.100,33
KONI,Perdana Bangun Pusaka Tbk,2.450,2.240,2.240,370,242.600,557.777.000,467
KOPI,Mitra Energi Persada Tbk.,304,298,298,6,668.900,201.082.600,147
KPIG,MNC Tourism Indonesia Tbk.,138,133,136,1,58.579.800,7.936.745.600,6.357
KRAS,Krakatau Steel (Persero) Tbk.,352,336,336,12,32.672.500,11.117.665.200,2.908
KREN,Quantum Clovera Investama Tbk.,20,19,20,0,18.288.500,357.898.000,555
LAPD,Leyand International Tbk.,179,167,169,6,20.145.100,3.450.311.500,1.635
LCGP,Eureka Prima Jakarta Tbk.,0,0,114,0,0,0,0
LEAD,Logindo Samudramakmur Tbk.,138,119,120,9,461.936.600,59.262.480.000,30.075
LINK,Link Net Tbk.,3.610,3.450,3.500,110,54.900,192.429.000,80
LION,Lion Metal Works Tbk.,432,416,422,12,166.600,70.121.800,100
LMAS,Limas Indonesia Makmur Tbk,0,0,50,0,0,0,0
LMPI,Langgeng Makmur Industri Tbk.,142,138,140,1,27.700,3.854.600,25
LMSH,Lionmesh Prima Tbk.,0,0,256,0,0,0,0
LPCK,Lippo Cikarang Tbk,580,560,575,0,691.700,398.190.500,416
LPGI,Lippo General Insurance Tbk.,720,670,710,5,6.700,4.705.500,39
LPIN,Multi Prima Sejahtera Tbk,448,430,438,0,143.800,63.211.800,101
LPKR,Lippo Karawaci Tbk.,85,83,84,0,54.820.700,4.583.864.600,1.786
LPLI,Star Pacific Tbk,428,408,412,16,557.300,231.256.400,358
LPPF,Matahari Department Store Tbk.,1.695,1.670,1.685,10,1.727.000,2.912.915.500,795
LPPS,Lenox Pasifik Investama Tbk.,110,103,105,4,4.718.500,499.519.800,583
LRNA,Eka Sari Lorena Transport Tbk.,300,238,300,60,16.263.900,4.665.185.000,3.243
LSIP,PP London Sumatra Indonesia Tb,1.175,1.145,1.165,20,7.679.600,8.895.306.500,1.942
LTLS,Lautan Luas Tbk.,865,850,850,10,42.500,36.231.500,50
MAGP,Multi Agro Gemilang Plantation,0,0,50,0,0,0,0
MAIN,Malindo Feedmill Tbk.,805,770,805,30,4.496.400,3.583.244.000,746
MAPI,Mitra Adiperkasa Tbk.,1.220,1.180,1.205,25,15.513.600,18.541.955.500,5.531
MAYA,Bank Mayapada Internasional Tb,236,228,232,2,4.793.700,1.112.404.600,472
MBAP,Mitrabara Adiperdana Tbk.,1.600,1.580,1.585,0,105.800,167.937.000,81
